iter	Passed	Remaining
416	3389	674
417	3396	666
418	3414	660
419	3433	654
420	3443	646
421	3450	637
422	3461	630
423	3470	622
424	3478	613
425	3486	605
426	3494	597
427	3500	588
428	3507	580
429	3514	572
430	3521	563
431	3528	555
432	3535	547
433	3542	538
434	3549	530
435	3560	522
436	3569	514
437	3576	506
438	3584	498
439	3592	489
440	3599	481
441	3605	473
442	3611	464
443	3618	456
444	3627	448
445	3635	440
446	3642	431
447	3651	423
448	3662	416
449	3671	407
450	3679	399
451	3688	391
452	3697	383
453	3705	375
454	3712	367
455	3718	358
456	3725	350
457	3733	342
458	3740	334
459	3747	325
460	3756	317
461	3767	309
462	3777	301
463	3785	293
464	3795	285
465	3803	277
466	3810	269
467	3818	261
468	3827	253
469	3836	244
470	3845	236
471	3853	228
472	3877	221
473	3886	213
474	3896	205
475	3905	196
476	3914	188
477	3923	180
478	3931	172
479	3938	164
480	3945	155
481	3954	147
482	3961	139
483	3969	131
484	3977	123
485	3985	114
486	3992	106
487	4000	98
488	4008	90
489	4016	81
490	4022	73
491	4029	65
492	4037	57
493	4044	49
494	4052	40
495	4058	32
496	4064	24
497	4071	16
498	4077	8
499	4084	0
