iter	Logloss
138	0.4403736271
139	0.4403146922
140	0.4400450015
141	0.439969024
142	0.4399427242
143	0.4398882549
144	0.4398147274
145	0.4397495354
146	0.4397203523
147	0.4396125855
148	0.4395530019
149	0.4395376932
150	0.4394837523
151	0.4394540643
152	0.4394309595
153	0.4393115504
154	0.4392712565
155	0.4392159892
156	0.4391227204
157	0.4390881296
158	0.4390414121
159	0.4390189424
160	0.4389659989
161	0.4388737379
162	0.4387914754
163	0.4385177529
164	0.4383386619
165	0.4380868762
166	0.4379777004
167	0.4378979474
168	0.4378699102
169	0.437858884
170	0.4377870648
171	0.4377242572
172	0.4376507908
173	0.4375722889
174	0.4375327416
175	0.4374592062
176	0.4374138856
177	0.4373733985
178	0.4373049404
179	0.4372839644
180	0.4370355239
181	0.4369671607
182	0.4368204161
183	0.4367582796
184	0.4366785541
185	0.4366192701
186	0.436578851
187	0.4365094009
188	0.4364221833
189	0.4363897262
190	0.4363319207
191	0.4362911791
192	0.4362563952
193	0.4362323319
194	0.4361811527
195	0.4360842376
196	0.4360383174
197	0.4359950432
198	0.4359709781
199	0.4359408367
200	0.4358831086
201	0.4358048307
202	0.4357634252
203	0.4356266069
204	0.4355600486
205	0.4355376962
206	0.4353394858
207	0.4352903324
208	0.4352114592
209	0.4351212249
210	0.4350830896
211	0.4350361995
212	0.4349947091
213	0.4349353581
214	0.4349017476
215	0.4348609331
216	0.4347262626
217	0.4346882907
218	0.43456409
219	0.4345357927
220	0.4344231111
221	0.4343775959
222	0.4343308643
223	0.4342593637
224	0.4342065603
225	0.4341706316
226	0.4341049185
227	0.4340498577
228	0.4340143829
229	0.4339487151
230	0.4338603539
231	0.433840465
232	0.433777419
233	0.4337126084
234	0.4336950859
235	0.4336299832
236	0.4335592847
237	0.4335109355
238	0.4334482894
239	0.4333687978
240	0.4332896901
241	0.4332139878
242	0.4331597569
243	0.4330837464
244	0.4330349996
245	0.4329388014
246	0.4328726145
247	0.4328109419
248	0.4327312529
249	0.432672575
250	0.4326156753
251	0.4325476132
252	0.4325049726
253	0.4324778699
254	0.4324542506
255	0.4324151519
256	0.4323419226
257	0.4322850879
258	0.4322362827
259	0.4321901024
260	0.4321249007
261	0.4320954174
262	0.4320488445
263	0.4319888153
264	0.4319398999
265	0.4318849851
266	0.4318289709
267	0.4317903519
268	0.4317362732
269	0.4316834847
270	0.4316443831
271	0.4316029408
272	0.431570352
273	0.4314847485
274	0.4314722175
275	0.4314189506
276	0.4313771963
277	0.4313111575
278	0.4312521317
279	0.4311817281
280	0.4311466996
281	0.4311194135
282	0.4310606818
283	0.4310161748
284	0.4309541061
285	0.4309405649
286	0.4308930781
287	0.4308303212
288	0.4307899662
289	0.4306691089
290	0.4306622597
291	0.4306166246
292	0.4305903121
293	0.4305496885
294	0.4305019742
295	0.4304442282
296	0.4304104744
297	0.4303795832
298	0.430328402
299	0.4302960338
300	0.4302671912
301	0.4301998812
302	0.4301471551
303	0.4301206757
304	0.4300808412
305	0.4300551005
306	0.4300170639
307	0.4299762724
308	0.4299544418
309	0.4299169191
310	0.4298578203
311	0.4298309065
312	0.4298142454
313	0.429769412
314	0.4297406248
315	0.4296998738
316	0.4296718724
317	0.4295760244
318	0.4295207347
319	0.4294917183
320	0.4294657384
321	0.4294124135
322	0.4293824034
323	0.4293372929
324	0.4293015947
325	0.4292688393
326	0.4292178895
327	0.4291830966
328	0.4291407827
329	0.4291239203
330	0.4290613951
331	0.4290178765
332	0.4289819897
333	0.4289044944
334	0.4288880012
335	0.4288592037
336	0.4288481604
337	0.4288064675
338	0.428769555
339	0.4287344703
340	0.4287106812
341	0.428638594
342	0.4286049411
343	0.4285207721
344	0.42850729
345	0.4284661498
346	0.4284330286
347	0.4283960869
348	0.4283787433
349	0.4283537109
350	0.4283282641
351	0.4283043876
352	0.4282597428
353	0.4282146819
354	0.4281918759
355	0.4281343517
356	0.4281077123
357	0.4280936663
358	0.4280654817
359	0.4280066752
360	0.4279726456
361	0.4279431866
362	0.4278960488
363	0.427846699
364	0.4278121651
365	0.4277910392
366	0.4277591975
367	0.4277412149
368	0.4276822105
369	0.4276391189
370	0.4276155677
371	0.4275802738
372	0.4275484199
373	0.4275249246
374	0.427484788
375	0.4274423483
376	0.427440216
377	0.4274136372
378	0.4273778857
379	0.4273499701
380	0.4273341091
381	0.4273089268
382	0.4272689518
383	0.4272240802
384	0.427204815
385	0.4272027996
386	0.4271815839
387	0.4271581996
388	0.427110093
389	0.4270840065
390	0.4270469098
391	0.4270269445
392	0.4270221148
393	0.4269563278
394	0.4269358345
395	0.4269106969
396	0.4268815323
397	0.4268572723
398	0.4268543012
399	0.4268127025
400	0.4267762563
401	0.4267712654
402	0.4267104336
403	0.4266796509
404	0.426653331
405	0.4266232889
406	0.4265896343
407	0.4265670579
408	0.4265411567
409	0.4265116395
410	0.4264666599
411	0.4264448803
412	0.4264438012
413	0.4264181529
414	0.4263705968
415	0.4263382528
416	0.426308739
417	0.4263018522
418	0.4262616562
419	0.4262368502
420	0.4262189287
421	0.4262135677
422	0.4261797813
423	0.4261432693
424	0.4261027637
425	0.4261009089
426	0.42607111
427	0.426032826
428	0.4260008713
429	0.4259737016
430	0.4259683692
431	0.4259321451
432	0.4258989096
433	0.4258509749
434	0.4258358207
435	0.4257913584
436	0.4257599494
437	0.4257554169
438	0.4257304169
439	0.4257047082
440	0.4256704339
441	0.425649436
442	0.4256482788
443	0.4256247335
444	0.4255837542
445	0.4255795059
446	0.4255650268
447	0.4255626545
448	0.4255591079
449	0.4255256347
450	0.425495164
451	0.4254763283
452	0.4254538485
453	0.425438549
454	0.4254240125
455	0.4253906857
456	0.425348987
457	0.4253156438
458	0.4252563958
459	0.4252474139
460	0.4252189617
461	0.4251917876
462	0.4251625886
463	0.4251396444
464	0.4251200576
465	0.4251181864
466	0.4250897936
467	0.4250722474
468	0.4250507592
469	0.4250285521
470	0.4250039819
471	0.4249896093
472	0.4249593689
473	0.4249190533
474	0.4248885596
475	0.4248703454
476	0.4248461476
477	0.4248367779
478	0.4247943773
479	0.4247620453
480	0.424734816
481	0.4247050326
482	0.4247041462
483	0.4246836127
484	0.4246377943
485	0.4246000703
486	0.4245867076
487	0.4245715545
488	0.4245486355
489	0.4245235353
490	0.4245227692
491	0.4244891381
492	0.4244547771
493	0.4244246561
494	0.4244046005
495	0.424394774
496	0.4243896439
497	0.424369793
498	0.4243519307
499	0.4243224811
